Feature,Importance
rcvTime,0.3192333727362719
pos_0,0.06684062162377279
hed_0,0.04663908361520553
speed_magnitude,0.04318542407598009
pos_magnitude,0.0429656853614734
spd_1,0.04276665089289441
spd_noise_1,0.04043478432997794
hed_1,0.0385666108081787
acceleration_magnitude,0.037261721597335665
acl_0,0.03506546032297941
acl_noise_1,0.03434786813130161
hed_noise_0,0.034286285142067705
spd_0,0.032849912336851174
pos_1,0.03202458881366562
acl_1,0.029922040592431934
acl_noise_0,0.02618231587652461
pos_noise_0,0.025792142947298195
spd_noise_0,0.02522953009607973
hed_noise_1,0.020182833623440272
pos_noise_1,0.020089767764175374
heading_magnitude,0.004031609395048764
type,0.002101689917045182
