Feature,Importance
rcvTime,0.08451410327895276
pos_noise_1,0.054995500408775794
pos_noise_0,0.05422555670564204
pos_0,0.05038851385321184
hed_noise_0,0.049876420077202555
hed_noise_1,0.049857696128559024
pos_1,0.04947561356549366
pos_magnitude,0.04870806503195573
hed_0,0.048559765394025504
hed_1,0.048496560231555595
acceleration_magnitude,0.04750785625815592
speed_magnitude,0.04719275502817007
acl_1,0.04704892668475793
acl_0,0.04689940210817769
spd_0,0.046340092306378027
spd_1,0.046301068441212
spd_noise_1,0.04304459577350502
spd_noise_0,0.042581208809703355
acl_noise_1,0.042519146363911006
acl_noise_0,0.042254435531269785
type,0.005919018373327887
heading_magnitude,0.0032936996460568185
