Feature,Importance
rcvTime,0.08609661657604359
pos_noise_1,0.054962651402922856
pos_noise_0,0.05474733686302224
pos_0,0.05094701628699116
hed_noise_0,0.0497308698104397
pos_1,0.049451515669312746
hed_noise_1,0.0492600384309704
pos_magnitude,0.04874248212193653
hed_0,0.04848719226836612
speed_magnitude,0.048255276443510756
hed_1,0.048074364062320886
acceleration_magnitude,0.04721207448656562
acl_0,0.04704511409728116
acl_1,0.04680603675998536
spd_0,0.04671846137237413
spd_1,0.046470809688121985
spd_noise_1,0.04270033768511855
spd_noise_0,0.0425938125593165
acl_noise_0,0.04136751677566191
acl_noise_1,0.0412551233180153
type,0.005777833780393799
heading_magnitude,0.0032975195413287744
